type,start_dt_key,end_dt_key,start_dt_local,end_dt_local,n_points,duration_hours,unique_days_count
PV1,2024-08-13T12:00:00+02:00,2024-08-13T15:30:00+02:00,2024-08-13 12:00:00,2024-08-13 15:30:00,8,4.0,1
PV1,2024-08-15T11:00:00+02:00,2024-08-15T15:30:00+02:00,2024-08-15 11:00:00,2024-08-15 15:30:00,10,5.0,1
PV1,2024-08-16T11:00:00+02:00,2024-08-16T15:30:00+02:00,2024-08-16 11:00:00,2024-08-16 15:30:00,10,5.0,1
PV1,2024-08-17T12:30:00+02:00,2024-08-17T14:30:00+02:00,2024-08-17 12:30:00,2024-08-17 14:30:00,5,2.5,1
PV1,2024-08-18T11:30:00+02:00,2024-08-18T15:30:00+02:00,2024-08-18 11:30:00,2024-08-18 15:30:00,9,4.5,1
PV1,2024-08-19T10:30:00+02:00,2024-08-19T15:30:00+02:00,2024-08-19 10:30:00,2024-08-19 15:30:00,11,5.5,1
PV1,2024-08-20T10:30:00+02:00,2024-08-20T15:30:00+02:00,2024-08-20 10:30:00,2024-08-20 15:30:00,11,5.5,1
PV1,2024-08-21T10:30:00+02:00,2024-08-21T15:30:00+02:00,2024-08-21 10:30:00,2024-08-21 15:30:00,11,5.5,1
PV1,2024-08-22T10:30:00+02:00,2024-08-22T15:30:00+02:00,2024-08-22 10:30:00,2024-08-22 15:30:00,11,5.5,1
PV1,2024-08-23T11:00:00+02:00,2024-08-23T12:00:00+02:00,2024-08-23 11:00:00,2024-08-23 12:00:00,3,1.5,1
PV1,2024-08-23T13:00:00+02:00,2024-08-23T15:30:00+02:00,2024-08-23 13:00:00,2024-08-23 15:30:00,6,3.0,1
PV1,2024-08-24T12:00:00+02:00,2024-08-24T14:30:00+02:00,2024-08-24 12:00:00,2024-08-24 14:30:00,6,3.0,1
PV1,2024-08-25T12:00:00+02:00,2024-08-25T15:30:00+02:00,2024-08-25 12:00:00,2024-08-25 15:30:00,8,4.0,1
PV1,2024-08-26T10:30:00+02:00,2024-08-26T15:30:00+02:00,2024-08-26 10:30:00,2024-08-26 15:30:00,11,5.5,1
PV1,2024-08-27T10:30:00+02:00,2024-08-27T15:30:00+02:00,2024-08-27 10:30:00,2024-08-27 15:30:00,11,5.5,1
PV1,2024-08-28T10:30:00+02:00,2024-08-28T15:30:00+02:00,2024-08-28 10:30:00,2024-08-28 15:30:00,11,5.5,1
PV1,2024-08-29T11:30:00+02:00,2024-08-29T15:30:00+02:00,2024-08-29 11:30:00,2024-08-29 15:30:00,9,4.5,1
PV1,2024-08-30T11:30:00+02:00,2024-08-30T15:30:00+02:00,2024-08-30 11:30:00,2024-08-30 15:30:00,9,4.5,1
PV1,2024-08-31T11:30:00+02:00,2024-08-31T15:30:00+02:00,2024-08-31 11:30:00,2024-08-31 15:30:00,9,4.5,1
PV1,2024-09-01T12:30:00+02:00,2024-09-01T15:30:00+02:00,2024-09-01 12:30:00,2024-09-01 15:30:00,7,3.5,1
PV1,2024-09-02T11:00:00+02:00,2024-09-02T15:30:00+02:00,2024-09-02 11:00:00,2024-09-02 15:30:00,10,5.0,1
PV1,2024-09-05T13:00:00+02:00,2024-09-05T15:00:00+02:00,2024-09-05 13:00:00,2024-09-05 15:00:00,5,2.5,1
PV1,2024-09-06T14:00:00+02:00,2024-09-06T14:30:00+02:00,2024-09-06 14:00:00,2024-09-06 14:30:00,2,1.0,1
PV1,2024-09-07T12:30:00+02:00,2024-09-07T15:30:00+02:00,2024-09-07 12:30:00,2024-09-07 15:30:00,7,3.5,1
PV1,2024-09-10T11:00:00+02:00,2024-09-10T15:30:00+02:00,2024-09-10 11:00:00,2024-09-10 15:30:00,10,5.0,1
PV1,2024-09-12T11:00:00+02:00,2024-09-12T15:30:00+02:00,2024-09-12 11:00:00,2024-09-12 15:30:00,10,5.0,1
