dt,absorb_need_mw,grid_buy_eur_per_mwh,grid_sell_eur_per_mwh,h2_price_eur_per_kg,P_curt_use_mw,Unused_curt_mw,P_grid_buy_mw,P_grid_sell_mw,P_el_mw,y_el_on,y_el_start,y_el_stop,P_fc_mw,y_fc_on,y_fc_start,y_fc_stop,y_switch_el2fc,y_switch_fc2el,P_batt_ch_mw,P_batt_dis_mw,SOC_batt_mwh,H2_prod_kg,H2_cons_fc_kg,H2_sale_kg,SOC_h2_kg
2024-01-14 16:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 17:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 17:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 18:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 18:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 19:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 19:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 20:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 20:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 21:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 21:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 22:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 22:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 23:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-14 23:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 00:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 00:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 01:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 01:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 02:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 02:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 03:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 03:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 04:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 04:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 05:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 05:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 06:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 06:30:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-15 07:00:00+01:00,0.0,70.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
