dt,absorb_need_mw_region,absorb_need_mw,heat_demand_mw_th,h2_price_eur_per_kg,P_curt_use_mw,Unused_curt_mw,P_batt_ch_mw,P_batt_dis_mw,SOC_batt_mwh,P_p2h_mw,Q_th_dis_mw_th,Slack_unmet_th_mw_th,SOC_th_mwh_th,P_el_mw,y_el_on,y_el_start,y_el_stop,H2_prod_kg,H2_sale_kg,SOC_h2_kg,P_pb_deficit_mw,P_pb_surplus_mw
2024-06-12 03:30:00+02:00,0.0,0.0,0.0,14.217469,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 04:00:00+02:00,0.0,0.0,0.0,13.800949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 04:30:00+02:00,0.0,0.0,0.0,13.800949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 05:00:00+02:00,0.0,0.0,0.0,13.800949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 05:30:00+02:00,0.0,0.0,0.0,13.800949,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 06:00:00+02:00,0.0,0.0,0.0,13.947589,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 06:30:00+02:00,0.0,0.0,0.0,13.947589,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 07:00:00+02:00,0.0,0.0,0.0,13.846189,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 07:30:00+02:00,0.0,0.0,0.0,13.846189,0.0,0.0,0.0,0.0,0.3573307492293449,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-06-12 08:00:00+02:00,0.0623956065157279,0.0004118110030038041,0.0,12.320509,0.0004118110030038041,0.0,0.0004118110030038041,0.0,0.3575263594557717,0.0,0.0,0.0,195.71849069334795,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
